अंक	ə ŋ k
पटाखा	p ə ʈ ɑː kʰ ɑː
पटेल	p ə ʈ eː l
पट्टा	p ə ʈ ʈ ɑː
पड़ताल	p ə ɽ t̪ ɑː l
पड़ना	p ə ɽ n ɑː
पढ़ना	p ə ɽʱ n ɑː
पढ़ाई	p ə ɽʱ ɑː iː
पतला	p ə t̪ l ɑː
पतलून	p ə t̪ l uː n
पत्ती	p ə tː iː
पत्तीदार	p ə t̪ t̪ iː d̪ ɑː ɾ
पत्थर	p ə t̪ t̪ʰ ə ɾ
पत्र	p ə t̪ ɾ
पथ	p ə t̪ʰ
पदक	p ə d̪ ə k
पदयात्रा	p ə d̪ j ɑː t̪ ɾ ɑː
पदवी	p ə d̪ ʋ iː
पदाधिकारी	p ə d̪ ɑː d̪ʱ ɪ k ɑː ɾ iː
पद्धति	p ə d̪ d̪ʱ ə t̪ iː
पद्म	p ə d̪ m
पनडुब्बी	p ə n ɖ ʊ b b iː
पनामा	p ə n ɑː m ɑː
पनीर	p ə n iː ɾ
पन्द्रह	p ə n d̪ ɾ əʱ
पन्ना	p ə n n ɑː
पपीता	p ə p iː t̪ ɑː
पर	p ə ɾ
परंपरागत	p ə ɾ ə m p ə ɾ ɑː ɡ ə t̪
परख	p ə ɾ ə kʰ
परचम	p ə ɾ t͡ʃ ə m
परमाणु	p ə ɾ m ɑː n uː
परवाज़	p ə ɾ ʋ ɑː z
परवाह	p ə ɾ ʋ ɑːʱ
परस्पर	p ə ɾ ə s p ə ɾ
पराठा	p ə ɾ ɑː ʈʰ ɑː
परामर्श	p ə ɾ ɑː m ə ɾ ʃ
पराया	p ə ɾ ɑː j ɑː
परास्त	p ə ɾ ɑː s t̪
परिचय	p ə ɾ ɪ t͡ʃ ə j
परिचालन	p ə ɾ ɪ t͡ʃ ɑː l ə n
परिचित	p ə ɾ ɪ t͡ʃ ɪ t̪
परिणाम	p ə ɾ ɪ n ɑː m
परिणामस्वरूप	p ə ɾ ɪ n ɑː m s ʋ ə ɾ uː p
परित्यक्त	p ə ɾ ɪ t̪ j ə k t̪
परिदृश्य	p ə ɾ ɪ d̪ ɾ ɪ ʃ j
परिधि	p ə ɾ ɪ d̪ʱ iː
परिभाषा	p ə r ɪ bʱ aː ʃ aː
परिभाषित	p ə ɾ ɪ bʱ ɑː ʃ ɪ t̪
परियोजना	p ə ɾ iː j oː d͡ʒ n ɑː
परिवारवाद	p ə ɾ ɪ ʋ ɑː ɾ ʋ ɑː d̪
परिषद	p ə ɾ ɪ ʃ ə d̪
परिसंघ	p ə ɾ ɪ s ə ŋ ɡʱ
परिसंपत्ति	p ə ɾ ɪ s ə m p ə t̪ t̪ iː
परी	p ə ɾ iː
परीक्षण	p ə ɾ iː k ʃ ə n
परीक्षा	p ə ɾ iː k ʃ ɑː
परे	p ə ɾ eː
परोसा	p ə ɾ oː s ɑː
पर्याप्त	p ə ɾ j ɑː p t̪
पर्याय	p ə ɾ j ɑː j
पर्यावरण	p ə ɾ j ɑː ʋ ə ɾ ə n
पर्व	p ə ɾ ʋ
पर्वत	p ə ɾ ʋ ə t̪
पल	p ə l
पलंग	p ə l ə ŋ ɡ
पलक	p ə l ə k
पलटवार	p ə l ə ʈ ʋ ɑː ɾ
पलायन	p ə l ɑː j ə n
पलीता	p ə l iː t̪ ɑː
पवन	p ə ʋ ə n
पशु	p ə ʃ uː
पश्चिम	p ə ʃ t͡ʃ ɪ m
पश्चिमी	p ə ʃ t͡ʃ ɪ m iː
पश्मीना	p ə ʃ m iː n ɑː
पसंद	p ə s ə n d̪
पसंदीदा	p ə s ə n d̪ iː d̪ ɑː
पसली	p ə s l iː
पसीना	p ə s iː n ɑː
पहचान	p ɛːʱ t͡ʃ ɑː n
पहनना	p ɛːʱ n n ɑː
पहनावा	p ɛːʱ n ɑː ʋ ɑː
पहरेदार	p ɛːʱ ɾ eː d̪ ɑː ɾ
पहल	p ɛːʱ l
पहला	p ɛːʱ l ɑː
पहले	p ɛːʱ l eː
पहाड़	p ə ɦ ɑː ɽ
पहुँचना	p ə ɦ ʊ̃ t͡ʃ n ɑː
पहुँचाना	p ə ɦ ʊ̃ t͡ʃ ɑː n ɑː
पहेली	p ə ɦ eː l iː
पांच	p ɑː ɲ t͡ʃ
पाउंड	p ɑː ʊ n ɖ
पाक	p ɑː k
पाकिस्तान	p ɑː k ɪ s t̪ ɑː n
पागल	p ɑː ɡ ə l
पाचन	p ɑː t͡ʃ ə n
पाठक	p ɑː ʈʰ ə k
पाठ्य	p ɑː ʈʰ j
पात्र	p ɑː t̪ ɾ
पाद	p ɑː d̪
पादरी	p ɑː d̪ ɾ iː
पान	p ɑː n
पाना	p ɑː n ɑː
पानी	p ɑː n iː
पापड़	p ɑː p ə ɽ
पाबंदी	p ɑː b ə n d̪ iː
पायदान	p ɑː j d̪ ɑː n
पायल	p ɑː j ə l
पार	p ɑː ɾ
पारदर्शी	p ɑː ɾ d̪ ə ɾ ʃ iː
पारसी	p ɑː ɾ s iː
पारिवारिक	p ɑː ɾ ɪ ʋ ɑː ɾ ɪ k
पारिश्रमिक	p ɑː ɾ ɪ ʃ ɾ ə m ɪ k
पारी	p ɑː ɾ iː
पालक	p ɑː l ə k
पालकी	p ɑː l k iː
पालना	p ɑː l n ɑː
पाश्चात्य	p ɑː ʃ t͡ʃ ɑː t̪ j
पास	p ɑː s
पिता	p ɪ t̪ ɑː
पितृ	p ɪ t̪ ɾ
पित्त	p ɪ t̪ t̪
पिया	p iː j ɑː
पिस्तौल	p ɪ s t̪ ɔː l
पीएम	p iː eː m
पीक	p iː k
पीठ	p iː ʈʰ
पीढ़ी	p iː ɽʱ iː
पीतल	p iː t̪ ə l
पीना	p iː n̪ ɑː
पीपल	p iː p ə l
पीरियड	p iː ɾ iː j ə ɖ
पीला	p iː l ɑː
पीलापन	p iː l ɑː p ə n
पुजारी	p ʊ d͡ʒ ɑː ɾ iː
पुट	p ʊ ʈ
पुण्य	p ʊ n j
पुण्यतिथि	p ʊ n j ə t̪ ɪ t̪ʰ iː
पुतला	p ʊ t̪ l ɑː
पुदीना	p ʊ d̪ iː n ɑː
पुनः	p ʊ n əʰ
पुनर्जीवित	p ʊ n ə ɾ d͡ʒ iː ʋ ɪ t̪
पुनर्निर्माण	p ʊ n ə ɾ n ɪ ɾ m ɑː n
पुरस्कार	p ʊ ɾ ə s k ɑː ɾ
पुरातत्व	p ʊ ɾ ɑː t̪ ə t̪ ʋ
पुरुष	p ʊ ɾ ʊ ʃ
पुरोहित	p ʊ ɾ oː ɦ ɪ t̪
पुर्तगाल	p ʊ ɾ t̪ ə ɡ ɑː l
पुल	p ʊ l
पुलिंदा	p ʊ l ɪ n d̪ ɑː
पुलिसकर्मी	p ʊ l ɪ s k ə ɾ m iː
पुश्तैनी	p ʊ ʃ t̪ ɛː n iː
पुष्प	p ʊ ʃ p
पुस्तक	p ʊ s t̪ ə k
पुस्तकालय	p ʊ s t̪ ə k ɑː l ə j
पुस्तिका	p ʊ s t̪ ɪ k ɑː
पूछ	p uː t͡ʃʰ
पूछना	p uː t͡ʃʰ n ɑː
पूरब	p uː ɾ ə b
पूरा	p uː ɾ ɑː
पूरी	p uː ɾ iː
पूर्ण	p uː ɾ n
पूर्णकालिक	p uː ɾ n ə k ɑː l ɪ k
पूर्णिमा	p uː ɾ n ɪ m ɑː
पूर्व	p uː ɾ ʋ
पूर्वी	p uː ɾ ʋ iː
पृथ्वी	p ɾ ɪ t̪ʰ ʋ iː
पेंशन	p eː n ʃ ə n
पेच	p eː t͡ʃ
पेचीदा	p eː t͡ʃ iː d̪ ɑː
पेज	p eː d͡ʒ
पेट	p eː ʈ
पेटी	p eː ʈ iː
पेट्रोल	p eː ʈ ɾ oː l
पेड़	p eː ɽ
पेन	p e n
पेरू	p eː ɾ uː
पेश	p eː ʃ
पेशा	p eː ʃ ɑː
पेशाब	p eː ʃ ɑː b
पेशावर	p eː ʃ ɑː ʋ ə ɾ
पेशी	p eː ʃ iː
पेशेवर	p eː ʃ eː ʋ ə ɾ
पैकेट	p ɛː k eː ʈ
पैदाइश	p ɛː d̪ ɑː ɪ ʃ
पैना	p ɛː n ɑː
पैमाना	p ɛː m ɑː n ɑː
पैरोकार	p ɛː ɾ oː k ɑː ɾ
पैसा	p ɛː s ɑː
पोत	p oː t̪
पोतना	p oː t̪ n ɑː
पोलैंड	p oː l ɛː n ɖ
पोशाक	p oː ʃ ɑː k
पौंड	p ɔː n ɖ
पौधा	p ɔː d̪ʱ ɑː
पौने	p ɔː n eː
पौराणिक	p ɔː ɾ ɑː n ɪ k
पौष्टिक	p ɔː ʃ ʈ ɪ k
प्याज	p j ɑː d͡ʒ
प्याज़	p j ɑː z
प्यादा	p j ɑː d̪ ɑː
प्यार	p j ɑː ɾ
प्यास	p j ɑː s
प्यासा	p j ɑː s ɑː
प्रकाश	p ɾ ə k ɑː ʃ
प्रक्रिया	p ɾ ə k ɾ iː j ɑː
प्रगति	p ɾ ə ɡ ə t̪ iː
प्रगतिशील	p ɾ ə ɡ ə t̪ ɪ ʃ iː l
प्रचंड	p ɾ ə t͡ʃ ə n ɖ
प्रचलित	p ɾ ə t͡ʃ ə l ɪ t̪
प्रचारित	p ɾ ə t͡ʃ ɑː ɾ ɪ t̪
प्रजा	p ɾ ə d͡ʒ ɑː
प्रजातंत्र	p ɾ ə d͡ʒ ɑː t̪ ə n t̪ ɾ
प्रण	p ɾ ə n
प्रणाम	p ɾ ə n ɑː m
प्रणाली	p ɾ ə n ɑː l iː
प्रतिक्रिया	p ɾ ə t̪ ɪ k ɾ iː j ɑː
प्रतिनिधि	p ɾ ə t̪ ɪ n ɪ d̪ʱ iː
प्रतिनिधित्व	p ɾ ə t̪ ɪ n ɪ d̪ʱ ɪ t̪ ʋ
प्रतिबंध	p ɾ ə t̪ ɪ b ə n d̪ʱ
प्रतिबंधित	p ɾ ə t̪ ɪ b ə n d̪ʱ ɪ t̪
प्रतिबिंब	p ɾ ə t̪ ɪ b ɪ m b
प्रतिभा	p ɾ ə t̪ ɪ bʱ ɑː
प्रतिभूति	p ɾ ə t̪ ɪ bʱ uː t̪ iː
प्रतिमा	p ɾ ə t̪ ɪ m ɑː
प्रतिमाह	p ɾ ə t̪ ɪ m ɑːʱ
प्रतियोगिता	p ɾ ə t̪ iː j oː ɡ ɪ t̪ ɑː
प्रतिरूप	p ɾ ə t̪ ɪ ɾ uː p
प्रतिरोध	p ɾ ə t̪ ɪ ɾ oː d̪ʱ
प्रतिरोधक	p ɾ ə t̪ ɪ ɾ oː d̪ʱ ə k
प्रतिशत	p ɾ ə t̪ ɪ ʃ ə t̪
प्रतिस्पर्धा	p ɾ ə t̪ ɪ s p ə ɾ d̪ʱ ɑː
प्रतीकात्मक	p ɾ ə t̪ iː k ɑː t̪ m ə k
प्रत्यक्षीकरण	p ɾ ə t̪ j ə k ʃ iː k ɾ ə n
प्रत्यर्पण	p ɾ ə t̪ j ə ɾ p ə n
प्रत्यर्पित	p ɾ ə t̪ j ə ɾ p ɪ t̪
प्रत्याशी	p ɾ ə t̪ j ɑː ʃ iː
प्रत्येक	p ɾ ə t̪ j eː k
प्रदर्शित	p ɾ ə d̪ ə ɾ ʃ ɪ t̪
प्रदाता	p ɾ ə d̪ ɑː t̪ ɑː
प्रदूषण	p ɾ ə d̪ uː ʃ ə n
प्रदेश	p ɾ ə d̪ eː ʃ
प्रधानाध्यापक	p ɾ ə d̪ʱ ɑː n ɑː d̪ʱ j ɑː p ə k
प्रबंध	p ɾ ə b ə n d̪ʱ
प्रबंधक	p ɾ ə b ə n d̪ʱ ə k
प्रबन्ध	p ɾ ə b ə n d̪ʱ
प्रबल	p ɾ ə b ə l
प्रभात	p ɾ ə bʱ ɑː t̪
प्रभारी	p ɾ ə bʱ ɑː ɾ iː
प्रभाव	p ɾ ə bʱ ɑː ʋ
प्रभावकारी	p ɾ ə bʱ ɑː ʋ k ɑː ɾ iː
प्रभावी	p ɾ ə bʱ ɑː ʋ iː
प्रमाण	p ɾ ə m ɑː n
प्रमुख	p ɾ ə m ʊ kʰ
प्रयास	p ɾ ə j ɑː s
प्रयोग	p ɾ ə j oː ɡ
प्रयोगशाला	p ɾ ə j oː ɡ ʃ ɑː l ɑː
प्रलय	p ɾ ə l ə j
प्रवक्ता	p ɾ ə ʋ ə k t̪ ɑː
प्रवर्तक	p ɾ ə ʋ ə ɾ t̪ ə k
प्रवाह	p ɾ ə ʋ ɑːʱ
प्रशंसक	p ɾ ə ʃ ə n s ə k
प्रशंसा	p ɾ ə ʃ ə n s ɑː
प्रशासक	p ɾ ə ʃ ɑː s ə k
प्रशासन	p ɾ ə ʃ ɑː s ə n
प्रशिक्षण	p ɾ ə ʃ ɪ k ʃ ə n
प्रसंग	p ɾ ə s ə ŋ ɡ
प्रसन्नता	p ɾ ə s ə n n t̪ ɑː
प्रसव	p ɾ ə s ə ʋ
प्रसारित	p ɾ ə s ɑː ɾ ɪ t̪
प्रस्ताव	p ɾ ə s t̪ ɑː ʋ
प्रस्तुत	p ɾ ə s t̪ ʊ t̪
प्रस्तुति	p ɾ ə s t̪ ʊ t̪ iː
प्रहार	p ɾ ə ɦ ɑː ɾ
प्रांत	p ɾ ɑː n t̪
प्राण	p ɾ ɑː n
प्राणी	p ɾ ɑː n iː
प्राथमिक	p r aː t̪ʰ m ɪ k
प्रादेशिक	p ɾ ɑː d̪ eː ʃ ɪ k
प्राधिकार	p ɾ ɑː d̪ʱ ɪ k ɑː ɾ
प्राध्यापक	p ɾ ɑː d̪ʱ j ɑː p ə k
प्राप्ति	p ɾ ɑː p t̪ iː
प्रायद्वीप	p ɾ ɑː j d̪ ʋ iː p
प्रारंभ	p ɾ ɑː ɾ ə m bʱ
प्रावधान	p ɾ ɑː ʋ d̪ʱ ɑː n
प्रासंगिक	p ɾ ɑː s ə ŋ ɡ ɪ k
प्रिंस	p ɾ ɪ n s
प्रिय	p ɾ ɪ j
प्रेक्षित	p ɾ eː k ʃ ɪ t̪
प्रेम	p ɾ eː m
प्रेरणा	p ɾ eː ɾ n ɑː
प्रेरित	p ɾ eː ɾ ɪ t̪
प्रेस	p ɾ eː s
प्रोग्राम	p ɾ oː ɡ ɾ ɑː m
प्रोत्साहन	p ɾ oː t̪ s ɑː ɦ ə n
प्रोत्साहित	p ɾ oː t̪ s ɑː ɦ ɪ t̪
प्रोस्टेट	p ɾ oː s ʈ eː ʈ
प्रौढ़	p ɾ ɔː ɽʱ
प्लीज़	p l iː z
फंदा	pʰ ə n d̪ ɑː
फट	pʰ ə ʈ
फरवरी	pʰ ə ɾ ʋ ə ɾ iː
फर्नीचर	pʰ ə ɾ n iː t͡ʃ ə ɾ
फल	pʰ ə l
फलस्वरूप	pʰ ə l ə s ʋ ə ɾ uː p
फ़तवा	f ə t̪ ʋ ɑː
फ़रमान	f ə ɾ m ɑː n
फ़रवरी	f ə ɾ ʋ ə ɾ iː
फ़रार	f ə ɾ ɑː ɾ
फ़रीदाबाद	f ə ɾ iː d̪ ɑː b ɑː d̪
फ़लस्तीनी	f ə l ə s t̪ iː n iː
फ़ालतू	f ɑː l t̪ uː
फ़िनलैंड	f ɪ n l ɛː n ɖ
फ़िलहाल	f ɪ l ɦ ɑː l
फ़ीस	f iː s
फ़ीसद	f iː s ə d̪
फ़ुटबॉल	f ʊ ʈ b ɔː l
फ़ेसबुक	f eː s b ʊ k
फ़ेहरिस्त	f eːʱ ɾ ɪ s t̪
फ़ैज़	f ɛː z
फ़ॉर्मूला	f ɔː ɾ m uː l ɑː
फ़ोटो	f oː ʈ oː
फ़ौज	f ɔː d͡ʒ
फ़ौरन	f ɔː ɾ ə n
फ़्रांसीसी	f ɾ ɑː n s iː s iː
फ़्लोरिडा	f l oː ɾ ɪ ɖ ɑː
फांसी	pʰ ɑː n s iː
फालतू	pʰ ɑː l t̪ uː
फिटकरी	pʰ ɪ ʈ k ə ɾ iː
फिरकी	pʰ ɪ ɾ k iː
फिरना	pʰ ɪ ɾ n ɑː
फिल्म	pʰ ɪ l m
फिसलन	pʰ ɪ s l ə n
फूंक	pʰ uː ŋ k
फूल	pʰ uː l
फेंक	pʰ eː ŋ k
फेंकना	pʰ eː ŋ k n ɑː
फेसबुक	pʰ eː s b ʊ k
फोड़ा	pʰ oː ɽ ɑː
फ्रांस	pʰ ɾ ɑː n s
बंगला	b ə ŋ ɡ l ɑː
बंगाली	b ə ŋ ɡ ɑː l iː
बंजर	b ə ɲ d͡ʒ ə ɾ
बंजारा	b ə ɲ d͡ʒ ɑː ɾ ɑː
बंद	b ə n d̪
बंदर	b ə n d̪ ə ɾ
बंदरिया	b ə n d̪ ə ɾ iː j ɑː
बंध	b ə n d̪ʱ
बंबई	b ə m b ə iː
बकरा	b ə k ɾ ɑː
बकरी	b ə k ɾ iː
बकवास	b ə k ʋ ɑː s
बखान	b ə kʰ ɑː n
बचना	b ə t͡ʃ n ɑː
बचपन	b ə t͡ʃ p ə n
बचपना	b ə t͡ʃ p ə n ɑː
बचाना	b ə t͡ʃ ɑː n ɑː
बच्चन	b ə t͡ʃ t͡ʃ ə n
बच्चा	b ə t͡ʃ t͡ʃ ɑː
बजाय	b ə d͡ʒ ɑː j
बटोरना	b ə ʈ oː ɾ n ɑː
बड़	b ə ɽ
बड़ा	b ə ɽ ɑː
बढ़ना	b ə ɽʱ n ɑː
बढ़ाना	b ə ɽʱ ɑː n ɑː
बढ़ावा	b ə ɽʱ ɑː ʋ ɑː
बढ़ोतरी	b ə ɽʱ oː t̪ ə ɾ iː
बताना	b ə t̪ ɑː n ɑː
बतौर	b ə t̪ ɔː ɾ
बत्तीस	b ə t̪ t̪ iː s
बदतमीज़	b ə d̪ t̪ ə m iː z
बदन	b ə d̪ ə n
बदल	b ə d̪ ə l
बदलाव	b ə d̪ l ɑː ʋ
बदौलत	b ə d̪ ɔː l ə t̪
बन	b ə n
बनना	b ə n n ɑː
बनवाना	b ə n ʋ ɑː n ɑː
बनाना	b ə n ɑː n ɑː
बनाने	b ə n ɑː n eː
बनाम	b ə n ɑː m
बनारस	b ə n ɑː ɾ ə s
बनावट	b ə n ɑː ʋ ə ʈ
बनावटी	b ə n aː ʋ ə ʈ iˑ
बन्दूक	b ə n d̪ uː k
बबूल	b ə b uː l
बब्बर	b ə b b ə ɾ
बमबारी	b ə m b ɑː ɾ iː
बम्बई	b ə m b ə iː
बयान	b ə j ɑː n
बरात	b ə ɾ ɑː t̪
बरामद	b ə ɾ ɑː m ə d̪
बरामदा	b ə ɾ ɑː m d̪ ɑː
बरी	b ə ɾ iː
बरेली	b ə ɾ eː l iː
बर्तन	b ə ɾ t̪ ə n
बर्ताव	b ə ɾ t̪ ɑː ʋ
बर्दाश्त	b ə ɾ d̪ ɑː ʃ t̪
बल	b ə l
बलूच	b ə l uː t͡ʃ
बलूचिस्तान	b ə l uː t͡ʃ ɪ s t̪ ɑː n
बल्ला	b ə l l ɑː
बल्लेबाज़	b ə l l eː b ɑː z
बवाल	b ə ʋ ɑː l
बस	b ə s
बसंत	b ə s ə n t̪
बस्ती	b ə s t̪ iː
बहना	b ɛːʱ n ɑː
बहनोई	b ɛːʱ n oː iː
बहरा	b ɛːʱ ɾ ɑː
बहाव	b ə ɦ ɑː ʋ
बहावलपुर	b ə ɦ ɑː ʋ ə l p ʊ ɾ
बहिन	b ɛːʱ n
बही	b ə ɦ iː
बहुचर्चित	b ə ɦ ʊ t͡ʃ ə ɾ t͡ʃ ɪ t̪
बहुजन	b ə ɦ ʊ d͡ʒ ə n
बहुराष्ट्रीय	b ə ɦ ʊ ɾ ɑː ʃ ʈ ɾ iː j
बहुसंख्यक	b ə ɦ ʊ s ə ŋ kʰ j ə k
बहू	b ə ɦ uː
बाँध	b ɑ̃ː d̪ʱ
बांग्लादेश	b ɑː ŋ ɡ l ɑː d̪ eː ʃ
बांटना	b ɑː n ʈ n ɑː
बाएँ	b ɑː ẽ
बाघ	b ɑː ɡʱ
बाजरा	b ɑː d͡ʒ ɾ ɑː
बाज़ारी	b ɑː z ɑː ɾ iː
बाजी	b ɑː d͡ʒ iː
बाट	b ɑː ʈ
बाड़ी	b ɑː ɽ iː
बाढ़	b ɑː ɽʱ
बाण	b ɑː n
बात	b ɑː t̪
बाती	b ɑː t̪ iː
बाथरूम	b ɑː t̪ʰ ɾ uː m
बाद	b ɑː d̪
बादशाह	b ɑː d̪ ʃ ɑːʱ
बादशाहत	b ɑː d̪ ʃ ɑː ɦ ə t̪
बादाम	b ɑː d̪ ɑː m
बान	b ɑː n
बापू	b ɑː p uː
बाबर	b ɑː b ə ɾ
बाबू	b ɑː b uː
बार	b ɑː ɾ
बारात	b ɑː ɾ ɑː t̪
बारिश	b ɑː ɾ ɪ ʃ
बारीक	b ɑː ɾ iː k
बाल	b ɑː l
बालिका	b ɑː l ɪ k ɑː
बालू	b ɑː l uː
बावजूद	b ɑː ʋ d͡ʒ uː d̪
बासन	b ɑː s ə n
बासमती	b ɑː s ə m t̪ iː
बाहुबली	b ɑː ɦ ʊ b ə l iː
बाह्य	b ɑːʱ j
बिंदास	b ɪ n d̪ ɑː s
बिंदी	b ɪ n d̪ iː
बिंदु	b ɪ n d̪ uː
बिक्री	b ɪ k ɾ iː
बिगड़ना	b ɪ ɡ ə ɽ n ɑː
बिगुल	b ɪ ɡ ʊ l
बिच्छू	b ɪ t͡ʃ t͡ʃʰ uː
बिछाना	b ɪ t͡ʃʰ ɑː n ɑː
बिजलीकरण	b ɪ d͡ʒ l iː k ə ɾ ə n
बिटिया	b ɪ ʈ iː j ɑː
बिताना	b ɪ t̪ ɑː n ɑː
बिना	b ɪ n ɑː
बिमारी	b ɪ m ɑː ɾ iː
बिरयानी	b ɪ ɾ j ɑː n iː
बिल्कुल	b ɪ l k ʊ l
बिल्ली	b ɪ l l iː
बिश्नोई	b ɪ ʃ n oː iː
बिस्कुट	b ɪ s k ʊ ʈ
बिस्तर	b ɪ s t̪ ə ɾ
बिहार	b ɪ ɦ ɑː ɾ
बिहारी	b ɪ ɦ ɑː ɾ iː
बी	b iː
बीकानेर	b iː k ɑː n eː ɾ
बीघा	b iː ɡʱ ɑː
बीच	b iː t͡ʃ
बीड़ा	b iː ɽ ɑː
बीड़ी	b iː ɽ iː
बीती	b iː t̪ iː
बीबी	b iː b iː
बीमा	b iː m ɑː
बीमारी	b iː m ɑː ɾ iː
बीर	b iː ɾ
बीरगंज	b iː ɾ ɡ ə ɲ d͡ʒ
बीवी	b iː ʋ iː
बीस	b iː s
बीहड़	b iː ɦ ə ɽ
बुआ	b ʊ ɑː
बुक	b ʊ k
बुड्ढा	b ʊ ɖ ɖʱ ɑː
बुढ़ापा	b ʊ ɽʱ aː p aː
बुद्ध	b ʊ d̪ d̪ʱ
बुद्धि	b ʊ d̪ d̪ʱ iː
बुद्धिजीवी	b ʊ d̪ d̪ʱ ɪ d͡ʒ iː ʋ iː
बुनियाद	b ʊ n ɪ j ɑː d̪
बुलंदशहर	b ʊ l ə n d̪ ʃ ɛːʱ ɾ
बुलाना	b ʊ l ɑː n ɑː
बुलेटिन	b ʊ l eː ʈ ɪ n
बुल्गारिया	b ʊ l ɡ ɑː ɾ iː j ɑː
बृहस्पति	b ɾ ɪ ɦ ə s p ə t̪ iː
बेंच	b eː ɲ t͡ʃ
बेकरी	b eː k ɾ iː
बेकार	b eː k ɑː ɾ
बेगुनाह	b eː ɡ ʊ n ɑːʱ
बेचैन	b eː t͡ʃ ɛː n
बेजान	b eː d͡ʒ ɑː n
बेटा	b eː ʈ ɑː
बेड़ा	b eː ɽ ɑː
बेतहाशा	b eː t̪ ə ɦ ɑː ʃ ɑː
बेताब	b eː t̪ ɑː b
बेनतीजा	b eː n ə t̪ iː d͡ʒ ɑː
बेमेल	b eː m eː l
बेलारूस	b eː l ɑː ɾ uː s
बेशक	b eː ʃ ə k
बेसन	b eː s ə n
बेसबॉल	b eː s b ɔː l
बैंगन	b ɛː ŋ ɡ ə n
बैठना	b ɛ ʈʰ n aː
बैर	b ɛː ɾ
बैल	b ɛː l
बैलगाड़ी	b ɛː l ɡ ɑː ɽ iː
बैसाखी	b ɛː s ɑː kʰ iː
बॉलीवुड	b ɔː l iː ʋ ʊ ɖ
बोझ	b oː d͡ʒʱ
बोझिल	b oː d͡ʒʱ ɪ l
बोट	b oː ʈ
बोध	b oː d̪ʱ
बोरियत	b oː ɾ iː j ə t̪
बोल	b oː l
बोलना	b oː l n ɑː
बोली	b oː l iː
बौछार	b ɔː t͡ʃʰ ɑː ɾ
बौना	b ɔː n ɑː
ब्याह	b j ɑːʱ
ब्यूरो	b j uː ɾ oː
ब्यौरा	b j ɔː ɾ ɑː
ब्रज	b ɾ ə d͡ʒ
ब्रह्म	b ɾ əʱ m
ब्राह्मी	b ɾ ɑːʱ m iː
ब्रिटेन	b ɾ ɪ ʈ eː n
भक्त	bʱ ə k t̪
भक्ति	bʱ ə k t̪ iː
भगदड़	bʱ ə ɡ d̪ ə ɽ
भगवा	bʱ ə ɡ ʋ ɑː
भगवान	bʱ ə ɡ ʋ ɑː n
भजन	bʱ ə d͡ʒ ə n
भटकना	bʱ ə ʈ ə k n ɑː
भटनागर	bʱ ə ʈ n ɑː ɡ ə ɾ
भड़काऊ	bʱ ə ɽ k ɑː uː
भड़कीला	bʱ ə ɽ k iː l ɑː
भतीजा	bʱ ə t̪ iː d͡ʒ ɑː
भतीजी	bʱ ə t̪ iː d͡ʒ iː
भत्ता	bʱ ə t̪ t̪ ɑː
भय	bʱ ɛː
भयभीत	bʱ ə j bʱ iː t̪
भरना	bʱ ə ɾ n ɑː
भरोसा	bʱ ə ɾ oː s ɑː
भरोसेमंद	bʱ ə ɾ oː s eː m ə n d̪
भर्ती	bʱ ə ɾ t̪ iː
भर्त्सना	bʱ ə ɾ t̪ s ə n ɑː
भले	bʱ ə l eː
भविष्य	bʱ ə ʋ ɪ ʃ j ə
भविष्यवाणी	bʱ ə ʋ ɪ ʃ j ə ʋ ɑː n iː
भांग	bʱ ɑː ŋ ɡ
भांजी	bʱ ɑː ɲ d͡ʒ iː
भाई	bʱ ɑː iː
भाग	bʱ ɑː ɡ
भागना	bʱ ɑː ɡ n ɑː
भागी	bʱ ɑː ɡ iː
भागे	bʱ ɑː ɡ eː
भाग्यशाली	bʱ aː ɡ j ə ʃ aː l iː
भाजपा	bʱ ɑː d͡ʒ p ɑː
भात	bʱ ɑː t̪
भाप	bʱ ɑː p
भाभी	bʱ ɑː bʱ iː
भार	bʱ ɑː ɾ
भारत	bʱ ɑː ɾ ə t̪
भारतीय	bʱ ɑː ɾ t̪ iː j
भारी	bʱ ɑː ɾ iː
भाव	bʱ ɑː ʋ
भावनात्मक	bʱ ɑː ʋ n ɑː t̪ m ə k
भावुक	bʱ ɑː ʋ ʊ k
भावुकता	bʱ ɑː ʋ ʊ k t̪ ɑː
भाषण	bʱ ɑː ʃ ə n
भाषा	bʱ ɑː ʂ ɑː
भास्कर	bʱ ɑː s k ə ɾ
भिखारी	bʱ ɪ kʰ ɑː ɾ iː
भिड़	bʱ ɪ ɽ
भिडु	bʱ ɪ ɖ uː
भीख	bʱ iː kʰ
भीड़	bʱ iː ɽ
भीतर	bʱ iː t̪ ə ɾ
भीषण	bʱ iː ʃ ə n
भुगतना	bʱ ʊ ɡ ə t̪ n ɑː
भुगतान	bʱ ʊ ɡ t̪ ɑː n
भुगताना	bʱ ʊ ɡ t̪ ɑː n ɑː
भुवन	bʱ ʊ ʋ ə n
भू	bʱ uː
भूख	bʱ uː kʰ
भूखा	bʱ uː kʰ ɑː
भूगोल	bʱ uː ɡ oː l
भूचाल	bʱ uː t͡ʃ ɑː l
भूटान	bʱ uː ʈ ɑː n
भूमिका	bʱ uː m ɪ k ɑː
