adda	a tː a
samkeppni	s a m cʰ ɛ h p n ɪ
samkvæmt	s a m kʱ v a i m̥ t
samlyndi	s a m l ɪ n t ɪ
samræmi	s a m r a iː m ɪ
samur	s aː m ʏ r
samvinna	s a m v ɪ nː a
samúel	s aː m uː ɛː l
samþykki	s a m θ ɪ h c ɪ
samþykkja	s a m θ ɪ h c a
samþykkt	s a m θ ɪ x t
sandur	s a n t ʏ r
sannarlega	s a nː a r l ɛː ɣ a
sannfæra	s a nː f a iː r a
sannfærandi	s a nː f a iː r a n t ɪ
sannindi	s a nː ɪ n t ɪ
sannlega	s a nː l ɛː ɣ a
sannleikur	s a nː l e iː k ʏ r
sannur	s a nː ʏ r
sara	s aː r a
sauma	s ø yː m a
schiöth	s c œ h t
sef	s ɛː v
sefur	s ɛː v ʏ r
segja	s e iː j a
segð	s ɛ ɣ ð
seinn	s e i t n
seiða	s e iː ð a
seiði	s e iː ð ɪ
sekkur	s ɛ h k ʏ r
sekt	s ɛ x t
sekur	s ɛː k ʏ r
selja	s ɛ l j a
sellerí	s ɛ lː ɛː r iː
selma	s ɛ l m a
selur	s ɛː l ʏ r
semball	s ɛ m p a t l
semja	s ɛ m j a
senda	s ɛ n t a
sendinn	s ɛ n t ɪ nː
senna	s ɛ nː a
sennilega	s ɛ nː ɪ l ɛː ɣ a
serbi	s ɛ r p ɪ
serótónín	s ɛː r o uː tʰ o uː n iː n
sess	s ɛ sː
setning	s ɛ h t n i ŋ k
seytla	s e i h t l a
seðill	s ɛː ð ɪ t l
sif	s ɪː v
sig	s ɪː ɣ
sigfús	s ɪ x f uː s
siggi	s ɪ cː ɪ
sigla	s ɪ k l a
siglt	s ɪ ɬ t
sigmar	s ɪ ɣ m aː r
sigmundur	s ɪ ɣ m ʏ n t ʏ r
sigríður	s ɪ ɣ r iː ð ʏ r
sigurdís	s ɪː ɣ ʏ r t iː s
sigurðsson	s ɪː ɣ ʏ r ð s s ɔː n
sigurður	s ɪː ɣ ʏ r ð ʏ r
sikiley	s ɪː c ɪ l e iː
silfur	s ɪ l v ʏ r
silja	s ɪ l j a
silki	s ɪ l̥ c ɪ
sinfóníuhljómsveit	s ɪ n f o uː n iː j ʏ l̥ j o u m s v e iː t
sinn	s ɪ nː
sinni	s ɪ nː ɪ
sitja	s ɪː t j a
sitjandi	s ɪː t j a n t ɪ
sitkagreni	s ɪː t k a k r ɛː n ɪ
siður	s ɪː ð ʏ r
sjaldgæfur	s j a l t c a iː v ʏ r
sjampó	s j a m̥ p o uː
sjá	s j a uː
sjáland	s j a uː l a n t
sjálfsfróun	s j a u l v s f r o uː ʏ n
sjálfsmynd	s j a u l v s m ɪ n t
sjálfur	s j a u l v ʏ r
sjáumst	s j aː u ʏ m̥ s t
sjóher	s j o uː h ɛː r
sjón	s j o uː n
sjónvarp	s j o u n v a r̥ p
sjór	s j o uː r
sjóveiki	s j o uː v e iː c ɪ
sjóða	s j o uː ð a
sjóður	s j o uː ð ʏ r
sjö	s j ø
sjöundi	s j œː ʏ n t ɪ
sjúkdómur	s j uː k t o uː m ʏ r
sjúkrahús	s j uː k r a h uː s
sjúkur	s j uː k ʏ r
skak	s k aː k
skalla	s k a t l a
skammur	s k a mː ʏ r
skapa	s k aː p a
skapari	s k aː p a r ɪ
skaplyndi	s k aː p l ɪ n t ɪ
skarfur	s k a r v ʏ r
skarpur	s k a r̥ p ʏ r
skart	s k a r̥ t
skattur	s k a h t ʏ r
skaut	s k ø yː t
skaðlegur	s k a ð l ɛː ɣ ʏ r
ske	s c ɛː
skegg	s c ɛ kː
skeina	s c e iː n a
skeið	s c e iː ð
skekkja	s c ɛ h c a
skella	s c ɛ t l a
skema	s c ɛː m a
skemma	s c ɛ mː a
skemmd	s c ɛ m t
skemmta	s c ɛ m̥ t a
skemmtilegur	s k ɛ m̥ t ɪ l ɛː ɣ ʏ r
skepna	s c ɛ h p n a
skera	s c ɛː r a
skermur	s c ɛ r m ʏ r
skerða	s c ɛ r ð a
skil	s c ɪː l
skila	s c ɪː l a
skilja	s c ɪ l j a
skiljanlega	s c ɪ l j a n l ɛː ɣ a
skiljanlegur	s c ɪ l j a n l ɛː ɣ ʏ r
skilningur	s c ɪ l n i ŋ k ʏ r
skin	s c ɪː n
skinn	s c ɪ nː
skinna	s k ɪ nː a
skipaskurður	s c ɪː p a s k ʏ r ð ʏ r
skipun	s c ɪː p ʏ n
skissa	s c ɪ sː a
skjal	s c aː l
skjaldarmerki	s c a l t a r m ɛ r̥ k ɪ
skjálfa	s c a u l v a
skjálfti	s c a u l̥ t ɪ
skjár	s c a uː r
skjól	s c o uː l
skjóta	s c o uː t a
skjöldur	s c œ l t ʏ r
skolli	s k ɔ t l ɪ
skoppa	s k ɔ h p a
skora	s k ɔː r a
skordýr	s k ɔ r t iː r
skortur	s k ɔ r̥ t ʏ r
skot	s k ɔː t
skoti	s k ɔː t ɪ
skotland	s k ɔː t l a n t
skotvopn	s k ɔː t v ɔ h p n
skoða	s k ɔː ð a
skraut	s k r ø yː t
skref	s k r ɛː v
skreppa	s k r ɛ h p a
skreyta	s k r e iː t a
skrifa	s k r ɪː v a
skriflegur	s k r ɪ v l ɛː ɣ ʏ r
skrifstofa	s k r ɪ f s t ɔː v a
skrið	s k r ɪː ð
skriðdreki	s k r ɪ ð t r ɛː c ɪ
skrá	s k r a uː
skráning	s k r a uː n i ŋ k
skrímsli	s k r i m s t l ɪ
skrúðganga	s k r u ð k a u ŋ k a
skuggi	s k ʏ cː ɪ
skulda	s k ʏ l t a
skuldari	s k ʏ l t aː r ɪ
skulu	s k ʏː l ʏ
skurðaðgerð	s k ʏ r ð a ð c ɛ r ð
skylda	s c ɪ l t a
skyn	s c ɪː n
skynsemi	s c ɪ n s ɛː m ɪ
skyr	s c ɪː r
skytta	s c ɪ h t a
skák	s k a uː k
skál	s k a uː l
skála	s k a uː l a
skáld	s k a u l t
skáldsaga	s k a u l t s aː ɣ a
skán	s k a uː n
skána	s k a uː n a
skápur	s k a uː p ʏ r
skárri	s k a u rː ɪ
skáti	s k a uː t ɪ
skær	s c a iː r
skína	s c iː n a
skíra	s c iː r a
skíta	s c iː t a
skítugur	s c iː t ʏː ɣ ʏ r
skíða	s c iː ð a
skíði	s c iː ð ɪ
skóf	s k o uː v
skólaár	s k o uː l a a uː r
skór	s k o uː r
skósmiður	s k o uː s m ɪː ð ʏ r
skömm	s k œ mː
sköp	s k œː p
ský	s c iː
skýla	s c iː l a
skýli	s c iː l ɪ
skýr	s c iː r
skýra	s c iː r a
skýring	s c iː r i ŋ k
skýrsla	s c i r̥ s t l a
slag	s t l aː ɣ
slagsmál	s t l a x s m a uː l
slakna	s t l a h k n a
slakur	s t l aː k ʏ r
slanga	s t l a u ŋ k a
slasa	s t l aː s a
slefa	s t l ɛː v a
sleikja	s t l e iː c a
sleppa	s t l ɛ h p a
slitna	s t l ɪ h t n a
slydda	s t l ɪ tː a
slys	s t l ɪː s
slá	s t l a uː
slátra	s t l a uː t r a
sláttur	s t l a u h t ʏ r
slátur	s t l a uː t ʏ r
slægur	s l a iː ɣ ʏ r
slésvík	s t l j ɛː s v iː k
slétta	s t l j ɛ h t a
sléttur	s t l j ɛ h t ʏ r
slíkur	s t l iː k ʏ r
slóð	s t l o uː ð
slúður	s t l uː ð ʏ r
smakka	s m a h k a
smali	s m aː l ɪ
smekklegur	s m ɛ h k l ɛː ɣ ʏ r
smekkur	s m ɛ h k ʏ r
smella	s m ɛ t l a
smit	s m ɪː t
smiðja	s m ɪ ð j a
smjör	s m j œː r
smokkur	s m ɔ h k ʏ r
smyrsl	s m ɪ r̥ s t l
smá	s m a uː
smári	s m a uː r ɪ
smásjá	s m a uː s j a uː
smíð	s m iː ð
snarl	s t n a r t l
snarpur	s n a r̥ p ʏ r
snemma	s n ɛ mː a
snerta	s n ɛ r̥ t a
snillingur	s t n ɪ t l i ŋ k ʏ r
snið	s t n ɪː ð
snjall	s t n j a t l
snuð	s t n ʏː ð
snákur	s t n a uː k ʏ r
snæfríður	s t n a iː f r iː ð ʏ r
snæri	s t n a iː r ɪ
sníkja	s n iː c a
snípur	s t n iː p ʏ r
sníða	s n iː ð a
snúður	s t n uː ð ʏ r
sofa	s ɔː v a
soffía	s ɔ fː iː j a
sofna	s ɔ p n a
solla	s ɔː l a
sonur	s ɔː n ʏ r
sorg	s ɔ r k
sortna	s ɔ r̥ t n a
sparka	s p a r̥ k a
sparnaður	s p a r t n aː ð ʏ r
spauga	s p ø yː ɣ a
spað	s p aː ð
spegill	s p e iː j ɪ t l
speki	s p ɛː c ɪ
spendýr	s p ɛ n t iː r
spenna	s p ɛ nː a
spennandi	s p ɛ nː a n t ɪ
spenntur	s p ɛ n̥ t ʏ r
spergilkál	s p ɛ r c ɪ l kʰ a uː l
spil	s p ɪː l
spila	s p ɪː l a
spjald	s p j a l t
spjalla	s p j a t l a
spjót	s p j o uː t
sprauta	s p r ø yː t a
sprettur	s p r ɛ h t ʏ r
springa	s p r i ŋ k a
sprunga	s p r u ŋ k a
spurning	s p ʏ r t n i ŋ k
spá	s p a uː
spámaður	s p a uː m aː ð ʏ r
spánverji	s p a u n v ɛ r j ɪ
spænska	s p a i n s k a
spíra	s p iː r a
spítali	s p iː tʰ aː l ɪ
spói	s p o uː ɪ
spónn	s p o u t n
stafa	s t aː v a
stafafura	s t aː v a f ʏː r a
stafla	s t a p l a
stafur	s t aː v ʏ r
stak	s t aː k
standa	s t a n t a
stansa	s t a n s a
stappa	s t a h p a
starf	s t a r v
starfa	s t a r v a
starfsemi	s t a r v s ɛː m ɪ
staða	s t aː ð a
staðall	s t aː ð a t l
staðhæfa	s t a ð h a iː v a
staður	s t aː ð ʏ r
stef	s t ɛː v
stefna	s t ɛ p n a
stefni	s t ɛ p n ɪ
stefnuljós	s t ɛ p n ʏ l j o uː s
stein	s t e iː n
steindór	s t e i n t o uː r
steinefni	s t e iː n ɛ p n ɪ
steinn	s t e i t n
steinunn	s t e iː n ʏ nː
stella	s t ɛ lː a
stemma	s t ɛ mː a
stephensen	s t ɛː f ɛ n s ɛ n
sterkur	s t ɛ r̥ k ʏ r
steypa	s t e iː p a
steytill	s t e iː t ɪ t l
steðji	s t ɛ ð j ɪ
stilkur	s t ɪ l̥ k ʏ r
stilla	s t ɪ t l a
stilling	s t ɪ t l i ŋ k
stimpill	s t ɪ m̥ p ɪ t l
stinnastör	s t ɪ nː a s t œː r
stjarna	s t j a r t n a
stjórnborð	s t j o u r t n p ɔ r ð
stjórnmál	s t j o u r t n m a uː l
stjörnufræði	s t j œ r t n ʏ f r a iː ð ɪ
stofa	s t ɔː v a
stofn	s t ɔ p n
stofna	s t ɔ p n a
stofnfélagi	s t ɔ p n f j ɛː l aː j ɪ
stofnun	s t ɔ p n ʏ n
stokkhólmur	s t ɔ h k h o u l m ʏ r
stormur	s t ɔ r m ʏ r
stoða	s t ɔː ð a
strand	s t r a n t
stranda	s t r a n t a
strauja	s t r ø yː j a
streita	s t r e iː t a
strengja	s t r e i ɲ c a
stress	s t r ɛ sː
stressa	s t r ɛ sː a
streyma	s t r e iː m a
strik	s t r ɪː k
strokka	s t r ɔ h k a
strá	s t r a uː
strákur	s t r a uː k ʏ r
stríð	s t r iː ð
stríða	s t r iː ð a
stund	s t ʏ n t
stunda	s t ʏ n t a
stundum	s t ʏ n t ʏ m
sturla	s t ʏ r t l a
stutt	s t ʏ h t
stuttur	s t ʏ h t ʏ r
stykkja	s t ɪ h c a
styrja	s t ɪ r j a
styrkja	s t ɪ r̥ c a
styrkur	s t ɪ r̥ k ʏ r
stytta	s t ɪ h t a
stytting	s t ɪ h t i ŋ k
styðja	s t ɪ ð j a
stækka	s t a i h k a
stæla	s t a iː l a
stærð	s t a i r ð
stærðfræði	s t a i r ð f r a iː ð ɪ
stæði	s t a iː ð ɪ
stétt	s t j ɛ h t
stía	s t iː j a
stífa	s t iː v a
stíga	s t iː ɣ a
stígur	s t iː ɣ ʏ r
stígvél	s t i ɣ v j ɛː l
stíll	s t i t l
stóll	s t o u t l
stór	s t o uː r
stóð	s t o uː ð
stökk	s t œ h k
stöng	s t ø y ŋ k
stöngull	s t ø y ŋ k ʏ t l
stöð	s t œː ð
stöðugur	s t œː ð ʏ ɣ ʏ r
stöðva	s t œ ð v a
stöðvun	s t œ ð v ʏ n
stýra	s t iː r a
stýri	s t iː r ɪ
sulla	s ʏ t l a
sulta	s ʏ l̥ t a
sumar	s ʏː m aː r
sundlaug	s ʏ n t l ø yː ɣ
sunnan	s ʏ nː a n
suðaustur	s ʏː ð ø y s t ʏ r
suðvestur	s ʏː ð v ɛ s t ʏ r
svaf	s v aː v
svali	s v aː l ɪ
svalir	s v aː l ɪ r
svalur	s v aː l ʏ r
svandís	s v a n t iː s
svanur	s v aː n ʏ r
svartur	s v a r̥ t ʏ r
svefnherbergi	s v ɛ p n h ɛ r p ɛ r c ɪ
svefnpoki	s v ɛ p n pʰ ɔː c ɪ
sveif	s v e iː v
sveifla	s v e i p l a
sveigja	s v e iː j a
sveigur	s v e iː ɣ ʏ r
sveindís	s v e i n t iː s
sveinn	s v e i t n
sveit	s v e iː t
svelta	s v ɛ l̥ t a
sver	s v ɛː r
sverja	s v ɛ r j a
sverrir	s v ɛ rː ɪ r
sverta	s v ɛ r̥ t a
svigi	s v ɪː j ɪ
svik	s v ɪː k
svindla	s v ɪ n t l a
svipta	s v ɪ f t a
sviss	s v ɪ sː
svitna	s v ɪ h t n a
svið	s v ɪː ð
sviði	s v ɪː ð ɪ
svo	s v ɔː
svæla	s v a iː l a
svæði	s v a iː ð ɪ
svífa	s v iː v a
svíkja	s v iː c a
svínakjöt	s v iː n a cʰ œː t
sykur	s ɪː k ʏ r
sykurreyr	s ɪː k ʏ r r e iː r
synd	s ɪ n t
synda	s ɪ n t a
syndga	s ɪ n t k a
syngja	s i ɲ c a
synjun	s ɪ n j ʏ n
systir	s ɪ s t ɪ r
systur	s ɪ s t ʏ r
sá	s a uː
sál	s a uː l
sálmabók	s a u l m a p o uː k
sáning	s a uː n i ŋ k
sápa	s a uː p a
sár	s a uː r
sáta	s a uː t a
sæl	s a i l̥
sæla	s a iː l a
sælgæti	s a i l c a iː t ɪ
sæll	s a i t l̥
sæma	s a iː m a
sæmundur	s a iː m ʏ n t ʏ r
sæng	s a i ŋ k
sænska	s a i n s k a
sær	s a iː r
særa	s a iː r a
sæta	s a iː t a
sæti	s a iː t ɪ
sætta	s a i h t a
sætur	s a iː t ʏ r
sæunn	s a iː j ʏ nː
sérstaklega	s j ɛ r̥ s t aː k l ɛː ɣ a
sérstakur	s j ɛ r̥ s t aː k ʏ r
séríslenskur	s j ɛː r i s t l ɛ n s k ʏ r
sífellt	s iː f ɛ l̥ t
síga	s iː ɣ a
símasamband	s iː m a s a m p a n t
símon	s iː m ɔː n
sínus	s iː n ʏ s
síra	s iː r a
sís	s iː s
síða	s iː ð a
síður	s iː ð ʏ r
sókn	s o ʊ k n̥
sól	s o uː l
sólarlag	s o uː l a r l aː ɣ
sólbað	s o u l p aː ð
sóley	s o uː l e iː
sólon	s o uː l ɔ n
sólsetur	s o u l s ɛː t ʏ r
sólskin	s o u l s k ɪː n
sólveig	s o u l v e iː ɣ
sópa	s o uː p a
sót	s o uː t
sótt	s o u h t
sóun	s o uː ʏ n
sög	s œː ɣ
sögn	s œ k n
sögumaður	s œː ɣ ʏ m aː ð ʏ r
sögur	s œː ɣ ʏ r
sökk	s œ h k
sökkull	s œ h k ʏ t l
sökkva	s œ h k v a
sölvi	s œ l v ɪ
söngur	s ø y ŋ k ʏ r
söngvari	s ø y ŋ k v aː r ɪ
sönnun	s œ nː ʏ n
súld	s u l t
súr	s uː r
súra	s uː r a
súrkál	s u r̥ kʰ a uː l
sýking	s iː c i ŋ k
sýkna	s i h k n a
sýn	s iː n
sýna	s iː n a
sýning	s iː n i ŋ k
sýrland	s i r l a n t
tafla	tʰ a p l a
tagl	tʰ a k l
tak	tʰ aː k
taka	tʰ aː k a
tal	tʰ aː l
tala	tʰ aː l a
tangi	tʰ a u ɲ c ɪ
tankur	tʰ a u n̥ k ʏ r
tap	tʰ aː p
tapa	tʰ aː p a
taska	tʰ a s k a
taug	tʰ ø yː ɣ
taugafræði	tʰ ø yː ɣ a f r a iː ð ɪ
taugakerfi	tʰ ø yː ɣ a cʰ ɛ r v ɪ
taumur	tʰ ø yː m ʏ r
tauta	tʰ ø yː t a
te	tʰ ɛː
tefja	tʰ ɛ v j a
tefla	tʰ ɛ p l a
tegund	tʰ ɛː ɣ ʏ n t
teikn	tʰ e i h k n
teikna	tʰ e i h k n a
teikning	tʰ e i h k n i ŋ k
telja	tʰ ɛ l j a
telma	tʰ ɛ l m a
telpa	tʰ ɛ l̥ p a
tengdadóttir	tʰ e i ŋ t a t o u h t ɪ r
tengill	tʰ e i ɲ c ɪ t l
tengja	tʰ e i ɲ c a
teskeið	tʰ ɛː s k e iː ð
teygja	tʰ e iː j a
thorarensen	tʰ o uː r aː r ɛ n s ɛ nː
thorlacius	tʰ ɔ r l a s iː j ʏ s
thoroddsen	tʰ o uː r ɔ tː s ɛ nː
tif	tʰ ɪː v
tign	tʰ ɪ k n
til	tʰ ɪː l
tilboð	tʰ ɪ l p ɔː ð
tilgangur	tʰ ɪ l k a u ŋ k ʏ r
tilkynning	tʰ ɪ l cʰ ɪ nː i ŋ k
tillit	tʰ ɪ l l ɪː t
tilraun	t ɪ l r ø yː n
tiltaka	tʰ ɪː l tʰ aː k a
tiltekinn	tʰ ɪː l tʰ ɛː c ɪ nː
tiltekt	tʰ ɪː l tʰ ɛ x t
tilviljun	tʰ ɪ l v ɪ l j ʏ n
tilvitnun	tʰ ɪ l v ɪ h t n ʏ n
tinna	tʰ ɪ nː a
tipla	tʰ ɪ h p l a
tjakkur	tʰ j a h k ʏ r
tjald	tʰ j a l t
tjara	tʰ j aː r a
tjá	tʰ j a uː
tjón	tʰ j o uː n
toga	tʰ ɔː ɣ a
togi	tʰ ɔː j ɪ
tollur	tʰ ɔ t l ʏ r
tomma	tʰ ɔ mː a
torfa	tʰ ɔ r v a
torfi	tʰ ɔ r v ɪ
torg	tʰ ɔ r k
traust	tʰ r ø y s t
tregða	tʰ r ɛ ɣ ð a
trekkja	tʰ r ɛ h c a
treyja	tʰ r e iː j a
treysta	tʰ r e i s t a
trikk	tʰ r ɪ h k
tristan	tʰ r ɪ s t a n
trommari	tʰ r ɔ mː aː r ɪ
trompet	tʰ r ɔ m̥ p ɛː t
troða	tʰ r ɔː ð a
tryggur	tʰ r ɪ kː ʏ r
tryggvi	tʰ r ɪ k v ɪ
tré	tʰ r j ɛː
trésmiður	tʰ r j ɛː s m ɪː ð ʏ r
tröll	tʰ r œ t l
trúa	tʰ r uː a
trúfélag	tʰ r uː f j ɛː l aː ɣ
trúr	t r uː r
tugur	tʰ ʏː ɣ ʏ r
tumi	tʰ ʏː m ɪ
tungumál	tʰ u ŋ k ʏ m a uː l
tvenna	tʰ v ɛ nː a
tvisvar	tʰ v ɪː s v aː r
tvíburi	tʰ v iː p ʏː r ɪ
tvíhliða	tʰ v iː l̥ ɪː ð a
tyggja	tʰ ɪ cː a
tyggjó	tʰ ɪ cː o uː
tyrkland	t ɪ r̥ k l a n t
tyrkneska	tʰ ɪ r̥ k n ɛ s k a
tákn	tʰ a u h k n
táningur	tʰ a uː n i ŋ k ʏ r
tæki	tʰ a iː c ɪ
tækifæri	t a iː c ɪ f a iː r ɪ
tækla	tʰ a i h k l a
tæla	tʰ a iː l a
tæpur	tʰ a iː p ʏ r
tær	tʰ a iː r
tæra	tʰ a iː r a
tæta	tʰ a iː t a
tékkland	t j ɛ h k l a n t
tékkneska	tʰ j ɛ h k n ɛ s k a
tígull	tʰ iː ɣ ʏ t l
tík	tʰ iː k
tímabelti	tʰ iː m a p ɛ l̥ t ɪ
tína	tʰ iː n a
tíska	tʰ i s k a
tíu	t iː ʏ
tíð	tʰ iː ð
tíðahvörf	tʰ iː ð a xʷ œ r v
tíðni	tʰ i ð n ɪ
tíður	tʰ iː ð ʏ r
tól	tʰ o uː l
tóm	tʰ o uː m
tómur	tʰ o uː m ʏ r
tón	tʰ o uː n
tónkvísl	tʰ o u n kʰ v i s t l
tónleikar	tʰ o u n l e iː k a r
tónlist	tʰ o u n l ɪ s t
tónlistarskóli	tʰ o u n l ɪ s t a r s k o uː l ɪ
tónn	tʰ o u t n
töf	tʰ œː v
töff	tʰ œ fː
tögl	tʰ œ k l
tölt	tʰ œ l̥ t
tölustafur	tʰ œː l ʏ s t aː v ʏ r
töluverður	tʰ œː l ʏ v ɛ r ð ʏ r
tölvupóstur	tʰ œ l v ʏ pʰ o u s t ʏ r
tönn	tʰ œ nː
túlkur	tʰ u l̥ k ʏ r
tún	tʰ uː n
túrmerik	tʰ u r m ɛː r ɪ k
týna	tʰ iː n a
týr	tʰ iː r
týra	tʰ iː r a
ufsi	ʏ f s ɪ
umdeildur	ʏ m t e i l t ʏ r
umdæmi	ʏ m t a iː m ɪ
umferð	ʏ m f ɛ r ð
umsókn	ʏ m s o u h k n
umtalsverður	ʏ m tʰ a l s v ɛ r ð ʏ r
una	ʏː n a
undanfarinn	ʏ n t a n f aː r ɪ nː
undarlega	ʏ n t a r l ɛː ɣ a
undirbúa	ʏ n t ɪ r p uː a
undirbúningur	ʏ n t ɪ r p uː n i ŋ k ʏ r
undirlag	ʏ n t ɪ r l aː ɣ
undirlendi	ʏ n t ɪ r l ɛ n t ɪ
undra	ʏ n t r a
undrun	ʏ n t r ʏ n
undur	ʏ n t ʏ r
ungi	u ŋ k ɪ
ungur	u ŋ k ʏ r
ungverska	u ŋ k v ɛ r̥ s k a
upp	ʏ h p
upphaf	ʏ h p h aː v
uppi	ʏ h p ɪ
upplifun	ʏ h p l ɪː v ʏ n
uppsalir	ʏ h p s aː l ɪ r
uppsetning	ʏ h p s ɛ h t n i ŋ k
uppspuni	ʏ h p s p ʏː n ɪ
urra	ʏ rː a
vafi	v aː v ɪ
vafra	v a v r a
vafri	v a v r ɪ
vagga	v a kː a
vagn	v a k n
vaka	v aː k a
vakna	v a h k n a
vakt	v a x t
vald	v a l t
valda	v a l t a
valdís	v a l t iː s
valkostur	v a l kʰ ɔ s t ʏ r
vana	v aː n a
vandi	v a n t ɪ
vanilla	v aː n ɪ lː a
vanur	v aː n ʏ r
var	v aː r
vara	v aː r a
varkárni	v a r̥ kʰ a u r t n ɪ
varla	v a r t l a
varða	v a r ð a
vasaúr	v aː s a uː r
vasi	v aː s ɪ
vatn	v aʰ t n
vaxa	v a x s a
vaða	v aː ð a
vega	v ɛː ɣ a
vegir	v eː j i r
vegna	v ɛ k n a
vegur	v ɛː ɣ ʏ r
veifa	v e iː v a
veigra	v e i ɣ r a
veiki	v e iː c ɪ
veikja	v e iː c a
veikur	v e iː k ʏ r
vein	v e iː n
veira	v e iː r a
veiða	v e iː ð a
veiði	v e iː ð ɪ
veiðimaður	v e iː ð ɪ m aː ð ʏ r
vel	v ɛː l
veldi	v ɛ l t ɪ
velgengni	v ɛ l c e i ŋ k n ɪ
velja	v ɛ l j a
vella	v ɛ t l a
velmegun	v ɛ l m ɛː ɣ ʏ n
venda	v ɛ n t a
venja	v ɛ n j a
venus	v ɛː n ʏ s
vera	v ɛː r a
verja	v ɛ r j a
verk	v ɛ r̥ k
verkfæri	v ɛ r̥ k f a iː r ɪ
verkur	v ɛ r̥ k ʏ r
verma	v ɛ r m a
vernd	v ɛ r n t
vernda	v ɛ r n t a
verndari	v ɛ r n t aː r ɪ
verndun	v ɛ r n t ʏ n
verulega	v ɛː r ʏ l ɛː ɣ a
verulegur	v ɛː r ʏ l ɛː ɣ ʏ r
verð	v ɛ r ð
verða	v ɛ r ð a
verðlaun	v ɛ r ð l ø yː n
verðmæti	v ɛ r ð m a iː t ɪ
verður	v ɛ r ð ʏ r
vestari	v ɛ s t aː r ɪ
vestra	v ɛ s t r a
vestri	v ɛ s t r ɪ
vestur	v ɛ s t ʏ r
vetni	v ɛ h t n ɪ
vetrarbraut	v ɛː t r a r p r ø yː t
vettugi	v ɛ h t ʏ j ɪ
vettvangur	v ɛ h t v a u ŋ k ʏ r
vetur	v ɛː t ʏ r
veð	v ɛː ð
veðja	v ɛ ð j a
veður	v ɛː ð ʏ r
veðurfræði	v e ɛ̯ ð ʏ r f r a i̯ ð ɪ
vigdís	v ɪ ɣ t iː s
vigfús	v ɪ x f uː s
vignir	v ɪ k n ɪ r
vigt	v ɪ x t
vigur	v ɪː ɣ ʏ r
vika	v ɪː k a
vikur	v ɪː k ʏ r
vildís	v ɪ l t iː s
vilhjálmur	v ɪ l ç a u l m ʏ r
vilja	v ɪ l j a
vilji	v ɪ l j ɪ
villtur	v ɪ l̥ t ʏ r
vilmundur	v ɪ l m ʏ n t ʏ r
vin	v ɪː n
vinalegur	v ɪː n a l ɛː ɣ ʏ r
vinda	v ɪ n t a
vindur	v ɪ n t ʏ r
vinkill	v i ɲ̊ c ɪ t l
vinna	v ɪ nː a
vinnumaður	v ɪ nː ʏ m aː ð ʏ r
vinur	v ɪː n ʏ r
vinátta	v ɪː n a u h t a
virka	v ɪ r̥ k a
virki	v ɪ r̥ c ɪ
virkja	v ɪ r̥ c a
virkjun	v ɪ r̥ c ʏ n
virkni	v ɪ r̥ k n ɪ
virkur	v ɪ r̥ k ʏ r
virða	v ɪ r ð a
virði	v ɪ r ð ɪ
viss	v ɪ sː
vissa	v ɪ sː a
vist	v ɪ s t
vista	v ɪ s t a
vistfræði	v ɪ s t f r a iː ð ɪ
vit	v ɪː t
vita	v ɪː t a
viti	v ɪː t ɪ
vitlaus	v ɪ h t l ø yː s
vitni	v ɪ h t n ɪ
við	v ɪ ð
viða	v ɪː ð a
viðar	v ɪː ð aː r
viðbragð	v ɪ ð p r a ɣ ð
viðbrögð	v ɪ ð p r œ ɣ ð
viðja	v ɪ ð j a
viðskiptavinur	v ɪ ð s k ɪ f t a v ɪː n ʏ r
viðtal	v ɪ ð tʰ aː l
viður	v ɪː ð ʏ r
vofa	v ɔː v a
voff	v ɔ fː
voffi	v ɔ fː ɪ
vog	v ɔː ɣ
voga	v ɔː ɣ a
von	v ɔː n
vona	v ɔː n a
vonbrigði	v ɔ n p r ɪ ɣ ð ɪ
vondur	v ɔ n t ʏ r
vopn	v ɔ h p n
votlendi	v ɔː t l ɛ n d ɪ
vá	v a uː
væla	v a iː l a
vænn	v a i t n
vænta	v a i n̥ t a
vél	v j ɛː l
vélbúnaður	v j ɛ l p uː n aː ð ʏ r
vélinda	v j ɛː l ɪ n t a
vídalín	v iː t a l iː n
vídd	v i tː
vígi	v iː j ɪ
vígja	v iː j a
vígður	v i ɣ ð ʏ r
vík	v iː k
víkja	v iː c a
víma	v iː m a
vín	v iː n
víns	v i n s
vís	v iː s
vísifingur	v iː s ɪ f i ŋ k ʏ r
víst	v i s t
víti	v iː t ɪ
víða	v iː ð a
víðir	v iː ð ɪ r
víður	v iː ð ʏ r
vök	v œː k
vökva	v œː k v a
völ	v œː l
völlur	v œ t l ʏ r
vör	v œː r
vörumerki	v œː r ʏ m ɛ r̥ c ɪ
vörður	v œ r ð ʏ r
waage	v ɔː ɣ ɛː
ydd	ɪ tː
yfirlit	ɪː v ɪ r l ɪː t
yfirráð	ɪː v ɪ r r a uː ð
yndi	ɪ n t ɪ
ysta	ɪ s t a
yðar	ɪː ð a r
zoëga	s o uː ɛː k aː
áburður	a uː p ʏ r ð ʏ r
ábyrgur	a uː p ɪ r k ʏ r
ábyrgð	a uː p ɪ r ɣ ð
áfall	a uː f a t l
áflog	a uː f l ɔː ɣ
ágætur	a uː c a iː tʰ ʏ r
áhersla	a uː h ɛ r̥ s t l a
áheyrn	a uː h e i r t n̥
