あい	a̠ i
しゃゆうれんせき	ɕ a̠ j ɯ̟ᵝː ɾ ẽ̞ ɰ̃ s e̞ kʲ i
しゃりし	ɕ a̠ ɾʲ i ɕ i
しゅいん	ɕ ɨᵝ ĩ ɴ
しゅう	ɕ ɨᵝː
しゅうかぶつ	ɕ ɨᵝː k a̠ b ɯ̟ᵝ t͡s ɨᵝ
しゅうがくしょう	ɕ ɨᵝː ɡ a̠ k ɯ̟ᵝ ɕ o̞ː
しゅうしゅく	ɕ ɨᵝː ɕ ɨᵝ k ɯ̟ᵝ
しゅうじん	ɕ ɨᵝː ʑ ĩ ɴ
しゅうせい	ɕ ɨᵝː s e̞ː
しゅうだんか	ɕ ɨᵝː d ã̠ ŋ k a̠
しゅうちゃく	ɕ ɨᵝː t͡ɕ a̠ k ɯ̟ᵝ
しゅうにん	ɕ ɨᵝː ɲ̟ ĩ ɴ
しゅうはすう	ɕ ɨᵝː h a̠ s ɨᵝː
しゅうまい	ɕ ɨᵝː m a̠ i
しゅかく	ɕ ɨ̥ᵝ k a̠ k ɯ̟ᵝ
しゅきょう	ɕ ɨ̥ᵝ kʲ o̞ː
しゅくがかい	ɕ ɨᵝ k ɯ̟ᵝ ɡ a̠ k a̠ i
しゅくじょ	ɕ ɨᵝ k ɯ̟ᵝ ʑ o̞
しゅくはく	ɕ ɨᵝ k ɯ̟ᵝ h a̠ k ɯ̟ᵝ
しゅげい	ɕ ɨᵝ ɡ e̞ː
しゅしん	ɕ ɨᵝ ɕ ĩ ɴ
しゅじん	ɕ ɨᵝ ʑ ĩ ɴ
しゅずだま	ɕ ɨᵝ z ɨᵝ d a̠ m a̠
しゅぞう	ɕ ɨᵝ z o̞ː
しゅぞく	ɕ ɨᵝ z o̞ k ɯ̟ᵝ
しゅっちょうじょ	ɕ ɨᵝ t̚ t͡ɕ o̞ː ʑ o̞
しゅてん	ɕ u t e ɴ
しゅみ	ɕ ɨᵝ mʲ i
しゅもく	ɕ ɨᵝ m o̞ k ɯ̟ᵝ
しゅもくざめ	ɕ ɨᵝ m o̞ k ɯ̟ᵝ z a̠ m e̞
しゅゆ	ɕ ɨᵝ j ɯ̟ᵝ
しゅよう	ɕ ɨᵝ j o̞ː
しゅらばる	ɕ ɨᵝ ɾ a̠ b a̠ ɾ ɯ̟ᵝ
しゅんが	ɕ ɨ̃ᵝ ŋ ɡ a̠
しゅんじつ	ɕ ɨ̃ᵝ ɲ̟ d͡ʑ i t͡s ɨᵝ
しょうあん	ɕ o̞ː ã̠ ɴ
しょういんしん	ɕ o̞ː ĩ ɰ̃ ɕ ĩ ɴ
しょううちゅう	ɕ o̞ː ɯ̟ᵝ t͡ɕ ɨᵝː
しょうえんせい	ɕ o̞ː ẽ̞ ɰ̃ s e̞ː
しょうか	ɕ o̞ː k a̠
しょうかい	ɕ o̞ː k a̠ i
しょうかき	ɕ o̞ː k a̠ kʲ i
しょうかせん	ɕ o̞ː k a̠ s ẽ̞ ɴ
しょうかんじゅう	ɕ o̞ː k ã̠ ɲ̟ d͡ʑ ɨᵝː
しょうがいぶつ	ɕ o̞ː ɡ a̠ i b ɯ̟ᵝ t͡s ɨᵝ
しょうがっこう	ɕ o̞ː ɡ a̠ k̚ k o̞ː
しょうけん	ɕ o̞ː k ẽ̞ ɴ
しょうこく	ɕ o̞ː k o̞ k ɯ̟ᵝ
しょうご	ɕ o̞ː ɡ o̞
しょうさ	ɕ o̞ː s a̠
しょうし	ɕ o̞ː ɕ i
しょうしがん	ɕ o̞ː ɕ i ɡ ã̠ ɴ
しょうしょう	ɕ o̞ː ɕ o̞ː
しょうしん	ɕ o̞ː ɕ ĩ ɴ
しょうじゅう	ɕ o̞ː ʑ ɨᵝː
しょうじょ	ɕ o̞ː ʑ o̞
しょうじる	ɕ o̞ː ʑ i ɾ ɯ̟ᵝ
しょうすけ	ɕ o̞ː s ɨᵝ k e̞
しょうせい	ɕ o̞ː s e̞ː
しょうせいぶどうさんえん	ɕ o̞ː s e̞ː b ɯ̟ᵝ d o̞ː s ã̠ ɰ̃ ẽ̞ ɴ
しょうせつ	ɕ o̞ː s e̞ t͡s ɨᵝ
しょうぜんていせん	ɕ o̞ː z ẽ̞ n t e̞ː s ẽ̞ ɴ
しょうそつ	ɕ o̞ː s o̞ t͡s ɨᵝ
しょうぞく	ɕ o̞ː z o̞ k ɯ̟ᵝ
しょうどう	ɕ o̞ː d o̞ː
しょうにん	ɕ o̞ː ɲ̟ ĩ ɴ
しょうひぜい	ɕ o̞ː ç i z e̞ː
しょうひょう	ɕ o̞ː ç o̞ː
しょうふ	ɕ o̞ː ɸ ɯ̟ᵝ
しょうぼう	ɕ o̞ː b o̞ː
しょうまん	ɕ o̞ː m ã̠ ɴ
しょうめい	ɕ o̞ː m e̞ː
しょうやきょく	ɕ o̞ː j a̠ kʲ o̞ k ɯ̟ᵝ
しょうよ	ɕ o̞ː j o̞
しょうらん	ɕ o̞ː ɾ ã̠ ɴ
しょきちょう	ɕ o̞ kʲ i t͡ɕ o̞ː
しょく	ɕ o̞ k ɯ̟ᵝ
しょくがん	ɕ o̞ k ɯ̟ᵝ ɡ ã̠ ɴ
しょくぶつ	ɕ o̞ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨᵝ
しょくめい	ɕ o̞ k ɯ̟ᵝ m e̞ː
しょくりょうひんてん	ɕ o̞ k ɯ̟ᵝ ɾʲ o̞ː ç ĩ n t ẽ̞ ɴ
しょじゅん	ɕ o̞ ʑ ɨ̃ᵝ ɴ
しょじょせい	ɕ o̞ ʑ o̞ s e̞ː
しょじょまく	ɕ o̞ ʑ o̞ m a̠ k ɯ̟ᵝ
しょす	ɕ o̞ s ɨᵝ
しょた	ɕ o̞ t a̠
しょっき	ɕ o̞ k̚ʲ kʲ i
しょっきだな	ɕ o̞ k̚ʲ kʲ i d a̠ n a̠
しょとう	ɕ o̞ t o̞ː
しょはん	ɕ o̞ h ã̠ ɴ
しょぶん	ɕ o̞ b ɯ̟̃ᵝ ɴ
しょほ	ɕ o̞ h o̞
しょほう	ɕ o̞ h o̞ː
しょめい	ɕ o̞ m e̞ː
しょり	ɕ o̞ ɾʲ i
しょるい	ɕ o̞ ɾ ɯ̟ᵝ i
しよう	ɕ i j o̞ː
しらたき	ɕ i ɾ a̠ t a̠ kʲ i
しらべる	ɕ i ɾ a̠ b e̞ ɾ ɯ̟ᵝ
しらむ	ɕ i ɾ a̠ m ɯ̟ᵝ
しらゆき	ɕ i ɾ a̠ j ɯ̟ᵝ kʲ i
しりとり	ɕ i ɾʲ i t o̞ ɾʲ i
しろうり	ɕ i ɾ o̞ ɯ̟ᵝ ɾʲ i
しろがしら	ɕ i ɾ o̞ ɡ a̠ ɕ i ɾ a̠
しろざけ	ɕ i ɾ o̞ z a̠ k e̞
しろねずみ	ɕ i ɾ o̞ n e̞ z ɨᵝ mʲ i
しわ	ɕ i ɰᵝ a̠
しんくう	ɕ ĩ ŋ k ɯ̟ᵝː
しんくうかん	ɕ ĩ ŋ k ɯ̟ᵝː k ã̠ ɴ
しんぐ	ɕ ĩ ŋ ɡ ɯ̟ᵝ
しんけいがく	ɕ ĩ ŋ k e̞ː ɡ a̠ k ɯ̟ᵝ
しんこく	ɕ ĩ ŋ k o̞ k ɯ̟ᵝ
しんごうき	ɕ ĩ ŋ ɡ o̞ː kʲ i
しんしゃく	ɕ ĩ ɰ̃ ɕ a̠ k ɯ̟ᵝ
しんしゅ	ɕ ĩ ɰ̃ ɕ ɨᵝ
しんじだい	ɕ ĩ ɲ̟ d͡ʑ i d a̠ i
しんじゅ	ɕ ĩ ɲ̟ d͡ʑ ɨᵝ
しんすい	ɕ ĩ ɰ̃ s ɨᵝ i
しんせいだい	ɕ ĩ ɰ̃ s e̞ː d a̠ i
しんそう	ɕ ĩ ɰ̃ s o̞ː
しんたく	ɕ ĩ n t a̠ k ɯ̟ᵝ
しんだん	ɕ ĩ n d ã̠ ɴ
しんちょうい	ɕ ĩ ɲ̟ t͡ɕ o̞ː i
しんつう	ɕ ĩ n t͡s ɨᵝː
しんにちは	ɕ ĩ ɲ̟ ɲ̟ i t͡ɕ i h a̠
しんねん	ɕ ĩ nː ẽ̞ ɴ
しんはんにん	ɕ ĩ ɰ̃ h ã̠ ɲ̟ ɲ̟ ĩ ɴ
しんぱ	ɕ ĩ m p a̠
しんぱい	ɕ ĩ m p a̠ i
しんぱいごと	ɕ ĩ m p a̠ i ɡ o̞ t o̞
しんぱいしょう	ɕ ĩ m p a̠ i ɕ o̞ː
しんぴん	ɕ ĩ m pʲ ĩ ɴ
しんぺん	ɕ ĩ m p ẽ̞ ɴ
しんぼう	ɕ ĩ m b o̞ː
しんぼうづよい	ɕ ĩ m b o̞ː z ɨᵝ j o̞ i
しんみつ	ɕ ĩ mʲː i t͡s ɨᵝ
しんめい	ɕ ĩ mː e̞ː
しんもん	ɕ ĩ mː õ̞ ɴ
しんよう	ɕ ĩ ɰ̃ j o̞ː
しんようじゅりん	ɕ ĩ ɰ̃ j o̞ː ʑ ɨᵝ ɾʲ ĩ ɴ
しんりょうじょ	ɕ ĩ n ɾʲ o̞ː ʑ o̞
しんわ	ɕ ĩ ɰ̃ ɰᵝ a̠
じかん	d͡ʑ i k ã̠ ɴ
じくさく	d͡ʑ i k ɯ̟ᵝ s a̠ k ɯ̟ᵝ
じけつ	d͡ʑ i k e̞ t͡s ɨᵝ
じげんてき	d͡ʑ i ɡ ẽ̞ n t e̞ kʲ i
じごく	d͡ʑ i ɡ o̞ k ɯ̟ᵝ
じし	d͡ʑ i ɕ i
じしゅう	d͡ʑ i ɕ ɨᵝː
じしょけい	d͡ʑ i ɕ o̞ k e̞ː
じしん	d͡ʑ i ɕ ĩ ɴ
じしんがく	d͡ʑ i ɕ ĩ ŋ ɡ a̠ k ɯ̟ᵝ
じしんがくしゃ	d͡ʑ i ɕ ĩ ɴ ŋ a̠ k ɯ̥ᵝ ɕʲ a̠
じじつ	d͡ʑ i ʑ i t͡s ɨᵝ
じじゅ	d͡ʑ i ʑ ɨᵝ
じすべり	d͡ʑ i s ɨᵝ b e̞ ɾʲ i
じせいしん	d͡ʑ i s e̞ː ɕ ĩ ɴ
じそんしん	d͡ʑ i s õ̞ ɰ̃ ɕ ĩ ɴ
じだ	d͡ʑ i d a̠
じだんだ	d͡ʑ i d ã̠ n d a̠
じっけん	d͡ʑ i k̚ k ẽ̞ ɴ
じっそく	d͡ʑ i sː o̞ k ɯ̟ᵝ
じったい	d͡ʑ i t̚ t a̠ i
じったいか	d͡ʑ i t̚ t a̠ i k a̠
じったいろん	d͡ʑ i t̚ t a̠ i ɾ õ̞ ɴ
じっち	d͡ʑ i t̚ t͡ɕ i
じっちゅうはっく	d͡ʑ i t̚ t͡ɕ ɨᵝː h a̠ k̚ k ɯ̟ᵝ
じっと	d͡ʑ i t̚ t o̞
じつろく	d͡ʑ i t͡s ɨᵝ ɾ o̞ k ɯ̟ᵝ
じつわ	d͡ʑ i t͡s ɨᵝ ɰᵝ a̠
じてんしゃ	d͡ʑ i t ẽ̞ ɰ̃ ɕ a̠
じでん	d͡ʑ i d ẽ̞ ɴ
じどうぎゃくたい	d͡ʑ i d o̞ː ɡʲ a̠ k ɯ̟ᵝ t a̠ i
じはんき	d͡ʑ i h ã̠ ŋʲ kʲ i
じひぶかい	d͡ʑ i ç i b ɯ̟ᵝ k a̠ i
じぶん	d͡ʑ i b ɯ̟̃ᵝ ɴ
じまく	d͡ʑ i m a̠ k ɯ̟ᵝ
じまん	d͡ʑ i m ã̠ ɴ
じみんとう	d͡ʑ i mʲ ĩ n t o̞ː
じめいきん	d͡ʑ i m e̞ː kʲ ĩ ɴ
じゃあく	d͡ʑ a̠ a̠ k ɯ̟ᵝ
じゃくら	d͡ʑ a̠ k ɯ̟ᵝ ɾ a̠
じゃこう	d͡ʑ a̠ k o̞ː
じゃこうじか	d͡ʑ a̠ k o̞ː ʑ i k a̠
じゃこうじゅう	d͡ʑ a̠ k o̞ː ʑ ɨᵝː
じゃっきゅう	d͡ʑ a̠ k̚ʲ kʲ ɨᵝː
じゃび	d͡ʑ a̠ bʲ i
じゅういち	d͡ʑ ɨᵝː i t͡ɕ i
じゅうげきせん	d͡ʑ ɨᵝː ɡ e̞ kʲ i s ẽ̞ ɴ
じゅうこうぎょう	d͡ʑ ɨᵝː k o̞ː ɡʲ o̞ː
じゅうご	d͡ʑ ɨᵝː ɡ o̞
じゅうじせん	d͡ʑ ɨᵝː ʑ i s ẽ̞ ɴ
じゅうじゅう	d͡ʑ ɨᵝː ʑ ɨᵝː
じゅうぜん	d͡ʑ ɨᵝː z ẽ̞ ɴ
じゅうたく	d͡ʑ ɨᵝː t a̠ k ɯ̟ᵝ
じゅうだん	d͡ʑ ɨᵝː d ã̠ ɴ
じゅうてんてき	d͡ʑ ɨᵝː t ẽ̞ n t e̞ kʲ i
じゅうでん	d͡ʑ ɨᵝː d ẽ̞ ɴ
じゅうなんざい	d͡ʑ ɨᵝː n ã̠ n d͡z a̠ i
じゅうに	d͡ʑ ɨᵝː ɲ̟ i
じゅうばこよみ	d͡ʑ ɨᵝː b a̠ k o̞ j o̞ mʲ i
じゅうりょう	d͡ʑ ɨᵝː ɾʲ o̞ː
じゅうりょく	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ
じゅうりょくは	d͡ʑ ɨᵝː ɾʲ o̞ k ɯ̟ᵝ h a̠
じゅくみん	d͡ʑ ɨᵝ k ɯ̟ᵝ mʲ ĩ ɴ
じゅじょうとっき	d͡ʑ ɨᵝ ʑ o̞ː t o̞ k̚ʲ kʲ i
じゅせい	d͡ʑ ɨᵝ s e̞ː
じゅっかい	d͡ʑ ɯᵝ kː a̠ i
じゅなん	d͡ʑ ɨᵝ n ã̠ ɴ
じゅにゅう	d͡ʑ ɨᵝ ɲ̟ ɯ̟ᵝː
じゅふ	d͡ʑ ɨᵝ ɸ ɯ̟ᵝ
じゅもく	d͡ʑ ɨᵝ m o̞ k ɯ̟ᵝ
じゅりん	d͡ʑ ɨᵝ ɾʲ ĩ ɴ
じゅんかつざい	d͡ʑ ɨ̃ᵝ ŋ k a̠ t͡s ɨᵝ z a̠ i
じゅんかつゆ	d͡ʑ ɨ̃ᵝ ŋ k a̠ t͡s ɨᵝ j ɯ̟ᵝ
じゅんき	d͡ʑ ɨ̃ᵝ ŋʲ kʲ i
じゅんけつ	d͡ʑ ɨ̃ᵝ ŋ k e̞ t͡s ɨᵝ
じゅんしょう	d͡ʑ ɨ̃ᵝ ɰ̃ ɕ o̞ː
じゅんび	d͡ʑ ɨ̃ᵝ m bʲ i
じゆう	d͡ʑ i j ɯ̟ᵝː
じゆうか	d͡ʑ i j ɯ̟ᵝː k a̠
じゆうがた	d͡ʑ i j ɯ̟ᵝː ɡ a̠ t a̠
じゆうとう	d͡ʑ i j ɯ̟ᵝː t o̞ː
じょう	d͡ʑ o̞ː
じょうおう	d͡ʑ o̞ː o̞ː
じょうか	d͡ʑ o̞ː k a̠
じょうかん	d͡ʑ o̞ː k ã̠ ɴ
じょうきげん	d͡ʑ o̞ː kʲ i ɡ ẽ̞ ɴ
じょうく	d͡ʑ o̞ː k ɯ̟ᵝ
じょうげてん	d ʑ oː ɡ e t e ɴ
じょうしゃ	d͡ʑ o̞ː ɕ a̠
じょうしゃけん	d͡ʑ o̞ː ɕ a̠ k ẽ̞ ɴ
じょうしょ	d͡ʑ o̞ː ɕ o̞
じょうじょう	d͡ʑ o̞ː ʑ o̞ː
じょうすう	d͡ʑ o̞ː s ɨᵝː
じょうたい	d͡ʑ o̞ː t a̠ i
じょうちゅう	d͡ʑ o̞ː t͡ɕ ɨᵝː
じょうとう	d͡ʑ o̞ː t o̞ː
じょうねつ	d͡ʑ o̞ː n e̞ t͡s ɨᵝ
じょうねん	d͡ʑ o̞ː n ẽ̞ ɴ
じょうふ	d͡ʑ o̞ː ɸ ɯ̟ᵝ
じょうへき	d͡ʑ o̞ː h e̞ kʲ i
じょうまえや	d͡ʑ o̞ː m a̠ e̞ j a̠
じょうよく	d͡ʑ o̞ː j o̞ k ɯ̟ᵝ
じょがくせい	d͡ʑ o̞ ɡ a̠ k ɯ̟̊ᵝ s e̞ː
じょきょうじゅ	d͡ʑ o̞ kʲ o̞ː ʑ ɨᵝ
じょせい	d͡ʑ o̞ s e̞ː
じょそうざい	d͡ʑ o̞ s o̞ː z a̠ i
じょほう	d͡ʑ o̞ h o̞ː
じょろうぐも	d͡ʑ o̞ ɾ o̞ː ɡ ɯ̟ᵝ m o̞
じりん	d͡ʑ i ɾʲ ĩ ɴ
じんかく	d͡ʑ ĩ ŋ k a̠ k ɯ̟ᵝ
じんぎ	d͡ʑ ĩ ŋʲ ɡʲ i
じんせいかん	d͡ʑ ĩ ɰ̃ s e̞ː k ã̠ ɴ
じんそく	d͡ʑ ĩ ɰ̃ s o̞ k ɯ̟ᵝ
じんぞう	d͡ʑ ĩ n d͡z o̞ː
じんたい	d͡ʑ ĩ n t a̠ i
じんつう	d͡ʑ ĩ n t͡s ɨᵝː
じんぶつ	d͡ʑ ĩ m b ɯ̟ᵝ t͡s ɨᵝ
じんぶん	d͡ʑ ĩ m b ɯ̟̃ᵝ ɴ
じんぼう	d͡ʑ ĩ m b o̞ː
じんめい	d͡ʑ ĩ mː e̞ː
すあし	s ɨᵝ a̠ ɕ i
すいいき	s ɨᵝ i i kʲ i
すいえい	s ɨᵝ i e̞ː
すいおん	s ɨᵝ i õ̞ ɴ
すいか	s ɨᵝ i k a̠
すいかとう	s ɨᵝ i k a̠ t o̞ː
すいかわり	s ɨᵝ i k a̠ ɰᵝ a̠ ɾʲ i
すいがん	s ɨᵝ i ɡ ã̠ ɴ
すいげんち	s ɨᵝ i ɡ ẽ̞ ɲ̟ t͡ɕ i
すいしゅ	s ɨᵝ i ɕ ɨᵝ
すいせいがん	s ɨᵝ i s e̞ː ɡ ã̠ ɴ
すいそうがく	s ɨᵝ i s o̞ː ɡ a̠ k ɯ̟ᵝ
すいそか	s ɨᵝ i s o̞ k a̠
すいそく	s ɨᵝ i s o̞ k ɯ̟ᵝ
すいぞう	s ɨᵝ i z o̞ː
すいてき	s ɨᵝ i t e̞ kʲ i
すいとう	s ɨᵝ i t o̞ː
すいとうがかり	s ɨᵝ i t o̞ː ɡ a̠ k a̠ ɾʲ i
すいとる	s ɨᵝ i t o̞ ɾ ɯ̟ᵝ
すいどうきょう	s ɨᵝ i d o̞ː kʲ o̞ː
すいばく	s ɨᵝ i b a̠ k ɯ̟ᵝ
すいへいせん	s ɨᵝ i h e̞ː s ẽ̞ ɴ
すいみんぶそく	s ɨᵝ i mʲ ĩ m b ɯ̟ᵝ s o̞ k ɯ̟ᵝ
すいよう	s ɨᵝ i j o̞ː
すいらい	s ɨᵝ i ɾ a̠ i
すいりょう	s ɨᵝ i ɾʲ o̞ː
すいりょく	s ɨᵝ i ɾʲ o̞ k ɯ̟ᵝ
すいろ	s ɨᵝ i ɾ o̞
すいろく	s ɨᵝ i ɾ o̞ k ɯ̟ᵝ
すう	s ɨᵝ ɯ̟ᵝ
すうがく	s ɨᵝː ɡ a̠ k ɯ̟ᵝ
すうがくしゃ	s ɨᵝː ɡ a̠ k ɯ̟̊ᵝ ɕ a̠
すうけい	s ɨᵝː k e̞ː
すうこう	s ɨᵝː k o̞ː
すうじ	s ɨᵝː ʑ i
すうせい	s ɨᵝː s e̞ː
すうろん	s ɨᵝː ɾ õ̞ ɴ
すか	s ɨ̥ᵝ k a̠
すがすがしい	s ɨᵝ ɡ a̠ s ɨᵝ ɡ a̠ ɕ i i
すききらい	s ɨ̥ᵝ kʲ i kʲ i ɾ a̠ i
すきずき	s ɨ̥ᵝ kʲ i z ɨᵝ kʲ i
すくう	s ɨ̥ᵝ k ɯ̟ᵝː
すくむ	s ɨ̥ᵝ k ɯ̟ᵝ m ɯ̟ᵝ
すぐれる	s ɨᵝ ɡ ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
すこし	s ɨ̥ᵝ k o̞ ɕ i
すこやか	s ɨ̥ᵝ k o̞ j a̠ k a̠
すごい	s ɨᵝ ɡ o̞ i
すごく	s ɨᵝ ɡ o̞ k ɯ̟ᵝ
すさまじい	s ɨᵝ s a̠ m a̠ ʑ iː
すし	s ɨᵝ ɕ i
すじ	s ɨᵝ ʑ i
すす	s ɨᵝ s ɨᵝ
すすめる	s ɨᵝ s ɨᵝ m e̞ ɾ ɯ̟ᵝ
すずなり	s ɨᵝ z ɨᵝ n a̠ ɾʲ i
すっきり	s ɨ̥ᵝ k̚ʲ kʲ i ɾʲ i
すっぽん	s ɨ̥ᵝ p̚ p õ̞ ɴ
すてき	s ɨ̥ᵝ t e̞ kʲ i
すてる	s ɨᵝ t e̞ ɾ ɯ̟ᵝ
すな	s ɨᵝ n a̠
すなわち	s ɨᵝ n a̠ ɰᵝ a̠ t͡ɕ i
すねる	s ɨᵝ n e̞ ɾ ɯ̟ᵝ
すばやい	s ɨᵝ b a̠ j a̠ i
すばる	s ɨᵝ b a̠ ɾ ɯ̟ᵝ
すべて	s ɨᵝ b e̞ t e̞
すまた	s ɨᵝ m a̠ t a̠
すみきる	s ɨᵝ mʲ i kʲ i ɾ ɯ̟ᵝ
すむ	s ɨᵝ m ɯ̟ᵝ
すりこむ	s ɨᵝ ɾʲ i k o̞ m ɯ̟ᵝ
する	s ɨᵝ ɾ ɯ̟ᵝ
ずいこう	d͡z ɨᵝ i k o̞ː
ずいこういん	d͡z ɨᵝ i k o̞ː ĩ ɴ
ずうずうしい	d͡z ɨᵝː z ɨᵝː ɕ i i
ずがい	d͡z ɨᵝ ɡ a̠ i
ずきん	d͡z ɨᵝ kʲ ĩ ɴ
ずぞうがく	d͡z ɨᵝ z o̞ː ɡ a̠ k ɯ̟ᵝ
ずたずた	d͡z ɨᵝ t a̠ z ɨᵝ t a̠
ずばずば	d͡z ɨᵝ b a̠ z ɨᵝ b a̠
ずばり	d͡z ɨᵝ b a̠ ɾʲ i
ずぶぬれ	d͡z ɨᵝ b ɯ̟ᵝ n ɯ̟ᵝ ɾ e̞
ずぼし	d͡z ɨᵝ b o̞ ɕ i
ずる	d͡z ɨᵝ ɾ ɯ̟ᵝ
ずるがしこい	d͡z ɨᵝ ɾ ɯ̟ᵝ ɡ a̠ ɕ i k o̞ i
ずろく	d͡z ɨᵝ ɾ o̞ k ɯ̟ᵝ
せいいき	s e̞ː i kʲ i
せいうん	s e̞ː ɯ̟̃ᵝ ɴ
せいえき	s e̞ː e̞ kʲ i
せいえん	s e̞ː ẽ̞ ɴ
せいかい	s e̞ː k a̠ i
せいかがく	s e̞ː k a̠ ɡ a̠ k ɯ̟ᵝ
せいがいふ	s e̞ː ɡ a̠ i ɸ ɯ̟ᵝ
せいきょういく	s e̞ː kʲ o̞ː i k ɯ̟ᵝ
せいけつ	s e̞ː k e̞ t͡s ɨᵝ
せいけん	s e̞ː k ẽ̞ ɴ
せいげん	s e̞ː ɡ ẽ̞ ɴ
せいこうしょう	s e̞ː k o̞ː ɕ o̞ː
せいご	s e̞ː ɡ o̞
せいさん	s e̞ː s ã̠ ɴ
せいしき	s e̞ː ɕ i kʲ i
せいしゅう	s e̞ː ɕ ɨᵝː
せいしょう	s e̞ː ɕ o̞ː
せいしょほう	s e̞ː ɕ o̞ h o̞ː
せいじがく	s e̞ː ʑ i ɡ a̠ k ɯ̟ᵝ
せいじょう	s e̞ː ʑ o̞ː
せいすい	s e̞ː s ɨᵝ i
せいせき	s e̞ː s e̞ kʲ i
せいせん	s e̞ː s ẽ̞ ɴ
せいぞん	s e̞ː z õ̞ ɴ
せいたいじ	s e̞ː t a̠ i ʑ i
せいち	s e̞ː t͡ɕ i
せいちょう	s e̞ː t͡ɕ o̞ː
せいてんかん	s e̞ː t ẽ̞ ŋ k ã̠ ɴ
せいばい	s e̞ː b a̠ i
せいひつ	s e̞ː ç i t͡s ɨᵝ
せいぶ	s e̞ː b ɯ̟ᵝ
せいぶつ	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ
せいほう	s e̞ː h o̞ː
せいよう	s e̞ː j o̞ː
せいようふう	s e̞ː j o̞ː ɸ ɯ̟ᵝː
せいようわさび	s e̞ː j o̞ː ɰᵝ a̠ s a̠ bʲ i
せいりゅう	s e̞ː ɾʲ o̞ː
せえの	s e̞ː n o̞
せかす	s e̞ k a̠ s ɨᵝ
せき	s e̞ kʲ i
せきとめる	s e̞ kʲ i t o̞ m e̞ ɾ ɯ̟ᵝ
せじ	s e̞ ʑ i
せぞく	s e̞ z o̞ k ɯ̟ᵝ
せたけ	s e̞ t a̠ k e̞
せっかい	s e̞ k̚ k a̠ i
せっきょうしゃ	s e̞ k̚ʲ kʲ o̞ː ɕ a̠
せっきん	s e̞ k̚ʲ kʲ ĩ ɴ
せっこう	s e̞ k̚ k o̞ː
せっこつ	s e̞ k̚ k o̞ t͡s ɨᵝ
せっさく	s e̞ sː a̠ k ɯ̟ᵝ
せっしょうせき	s e̞ ɕː o̞ː s e̞ kʲ i
せっちゅうじ	s e̞ t̚ t͡ɕ ɨᵝː ʑ i
せってん	s e̞ t̚ t ẽ̞ ɴ
せっとうじ	s e̞ t̚ t o̞ː ʑ i
せっぱく	s e̞ p̚ p a̠ k ɯ̟̊ᵝ
せっぱん	s e̞ p̚ p ã̠ ɴ
せっぷく	s e̞ p̚ p ɯ̟̊ᵝ k ɯ̟ᵝ
せっぺん	s e̞ p̚ p ẽ̞ ɴ
せつだん	s e̞ t͡s ɨᵝ d ã̠ ɴ
せめて	s e̞ m e̞ t e̞
せりあげる	s e̞ ɾʲ i a̠ ɡ e̞ ɾ ɯ̟ᵝ
せわしない	s e̞ ɰᵝ a̠ ɕ i n a̠ i
せんか	s ẽ̞ ŋ k a̠
せんきょう	s ẽ̞ ŋʲ kʲ o̞ː
せんくしゃ	s ẽ̞ ŋ k ɯ̟ᵝ ɕ a̠
せんげん	s ẽ̞ ŋ ɡ ẽ̞ ɴ
せんこう	s ẽ̞ ŋ k o̞ː
せんざいいちぐう	s ẽ̞ n d͡z a̠ i i t͡ɕ i ɡ ɯ̟ᵝː
せんし	s ẽ̞ ɰ̃ ɕ i
せんしゅうらく	s ẽ̞ ɰ̃ ɕ ɨᵝː ɾ a̠ k ɯ̟ᵝ
せんじ	s ẽ̞ ɲ̟ d͡ʑ i
せんたい	s ẽ̞ n t a̠ i
せんたくばさみ	s ẽ̞ n t a̠ k ɯ̟ᵝ b a̠ s a̠ mʲ i
せんだい	s ẽ̞ n d a̠ i
せんちょう	s ẽ̞ ɲ̟ t͡ɕ o̞ː
せんてん	s ẽ̞ n t ẽ̞ ɴ
せんとう	s ẽ̞ n t o̞ː
せんにゅう	s ẽ̞ ɲ̟ ɲ̟ ɯ̟ᵝː
せんにょ	s ẽ̞ ɲ̟ ɲ̟ o̞
せんばい	s ẽ̞ m b a̠ i
せんべい	s ẽ̞ m b e̞ː
せんぼうきょう	s ẽ̞ m b o̞ː kʲ o̞ː
せんぼん	s ẽ̞ ɴ b õ̞ ɴ
せんめい	s ẽ̞ mː e̞ː
せんらん	s ẽ̞ n ɾ ã̠ ɴ
せんりゃく	s ẽ̞ n ɾʲ a̠ k ɯ̟ᵝ
せんりゅう	s ẽ̞ n ɾʲ ɨᵝː
ぜったいち	d͡z e̞ t̚ t a̠ i t͡ɕ i
ぜったいてき	d͡z e̞ t̚ t a̠ i t e̞ kʲ i
ぜつえん	d͡z e̞ t͡s ɨᵝ ẽ̞ ɴ
ぜつない	z e t s u n a i
ぜつふちょう	d͡z e̞ t͡s ɨᵝ ɸ ɯ̟ᵝ t͡ɕ o̞ː
ぜんえいてき	d͡z ẽ̞ ɰ̃ e̞ː t e̞ kʲ i
